id_dep,name,party,UF,twitter_account
49,Deputado Augusto Coutinho,SOLIDARIEDADE,PE,dep_acoutinho
50,Deputada Áurea Carolina,PSOL,MG,aureacarolinax
51,Deputado Aureo Ribeiro,SOLIDARIEDADE,RJ,AureoRibeiroRJ
52,Deputado Bacelar,PODE,BA,DeputadoBacelar
53,Deputado Baleia Rossi,MDB,SP,Baleia_Rossi
54,Deputada Benedita Da Silva,PT,RJ,dasilvabenedita
55,Deputado Benes Leocádio,REPUBLICANOS,RN,benesleocadiorn
56,Deputado Beto Faro,PT,PA,BetoFaroPT
57,Deputado Beto Pereira,PSDB,MS,betopereirams
58,Deputado Beto Rosado,PP,RN,BetoRosado
59,Deputada Bia Cavassa,PSDB,MS,BiaCavassa
60,Deputada Bia Kicis,PSL,DF,Biakicis
61,Deputado Bibo Nunes,PSL,RS,bibonunes1
62,Deputado Bilac Pinto,DEM,MG,depbilacpinto
63,Deputado Bira Do Pindaré,PSB,MA,BiradoPindare
64,Deputado Boca Aberta,PROS,PR,BocaAbertaOf
65,Deputado Bohn Gass,PT,RS,BohnGass
66,Deputado Bosco Costa,PL,SE,BoscoCosta_SE
67,Deputado Bosco Saraiva,SOLIDARIEDADE,AM,boscosaraiva
68,Deputado Bozzella,PSL,SP,bozzellajr
69,Deputada Bruna Furlan,PSDB,SP,DepBrunaFurlan
70,Deputado Cacá Leão,PP,BA,CacaLeao
71,Deputado Camilo Capiberibe,PSB,AP,CamiloPSB
72,Deputado Capitão Alberto Neto,REPUBLICANOS,AM,capalbertoneto
73,Deputado Capitão Augusto,PL,SP,capitaoXaugusto
74,Deputado Capitão Fábio Abreu,PL,PI,fabioabreuofc
75,Deputado Capitão Wagner,PROS,CE,capitao_wagner
76,Deputada Carla Dickson,PROS,RN,carladicksonrn
77,Deputada Carla Zambelli,PSL,SP,CarlaZambelli38
78,Deputado Carlos Bezerra,MDB,MT,no-twitter
79,Deputado Carlos Chiodini,MDB,SC,carloschiodini
80,Deputado Carlos Gomes,REPUBLICANOS,RS,carlosgomesdep
81,Deputado Carlos Henrique Gaguim,DEM,TO,Carlos_Gaguim
82,Deputado Carlos Jordy,PSL,RJ,carlosjordy
83,Deputado Carlos Sampaio,PSDB,SP,carlossampaio_
84,Deputado Carlos Veras,PT,PE,carlosveraspt
85,Deputado Carlos Zarattini,PT,SP,CarlosZarattini
86,Deputada Carmen Zanotto,CIDADANIA,SC,carmen_zanotto
87,Deputada Caroline De Toni,PSL,SC,CarolDeToni
